LOAD_ZONE,dbid,existing_local_td,local_td_annual_cost_per_mw
NuevaCharrua500,0,0,0
Cumbre500,1,0,0
Pichirropulli500,2,0,0
Polpaico500,3,0,0
NuevaAncud500,4,0,0
AltoJahuel500,5,0,0
NuevaCardones500,6,0,0
Ancoa500,7,0,0
RioMalleco500,8,0,0
NuevaPandeAzucar500,9,0,0
NuevaMaitencillo500,10,0,0
NuevaPuertoMontt500,11,0,0
Parinas500,12,0,0
NuevaZaldivar220,13,0,0
Kimal500,14,0,0
LosChangos500,15,0,0
Lagunas220,16,0,0
Kimal220,17,0,0
LosChangos220,18,0,0
NuevaPozoAlmonte220,19,0,0
Parinacota220,20,0,0
Quillota500,21,0,0
Candelaria500,22,0,0
Rapel500,23,0,0
Concepcion500,24,0,0
Mulchen500,25,0,0
