WATER_CONNECTIONS,water_node_from,water_node_to,wc_capacity
B_C_Isla,B_C_Isla,ISLA,9999
B_M_Isla,B_M_Isla,ISLA,9999
B_Maule,B_Maule,PEHUENCHE,9999
Caudal_Eco_Ralco,RALCO,PANGUE,9999
Ext_Maule,Ext_Maule,LA_MINA,9999
Filt_Colb,COLBUN,OFFGRID,9999
Filt_Inv,CIPRESES,B_C_Isla,9999
Filt_Laja,ELTORO,POLCURA,9999
HI_B_M_Isla_neg,B_M_Isla,OFFGRID,9999
HI_CURILLINQUE_neg,CURILLINQUE,OFFGRID,9999
HI_LA_MINA_neg,LA_MINA,OFFGRID,9999
HI_LOMAALTA_neg,LOMAALTA,OFFGRID,9999
HI_RUCUE_neg,RUCUE,OFFGRID,9999
Post_Antuco,Post_Antuco,RUCUE,9999
Post_Isla,Post_Isla,CURILLINQUE,9999
Post_Machicura,Post_Machicura,SANIGNACIO,9999
Post_Pangue,Post_Pangue,ANGOSTURA,9999
Post_Quilleco,Post_Quilleco,LAJA_I,9999
Riego_B_Maule,B_Maule,OFFGRID,9999
Riego_LAJA_I,LAJA_I,OFFGRID,9999
Riego_NoGen_Colbun,COLBUN,OFFGRID,9999
Riego_RUCUE,RUCUE,OFFGRID,9999
Riego_SANIGNACIO,SANIGNACIO,OFFGRID,9999
Vert_ANGOSTURA,ANGOSTURA,OFFGRID,9999
Vert_ANTUCO,POLCURA,RUCUE,9999
Vert_B_C_Isla,B_C_Isla,B_Maule,9999
Vert_B_M_Isla,B_M_Isla,B_Maule,9999
Vert_B_Maule,B_Maule,COLBUN,9999
Vert_CANUTILLAR,CANUTILLAR,OFFGRID,9999
Vert_CIPRESES,CIPRESES,B_C_Isla,9999
Vert_COLBUN,COLBUN,OFFGRID,9999
Vert_CURILLINQUE,CURILLINQUE,B_Maule,9999
Vert_ELTORO,ELTORO,POLCURA,9999
Vert_ISLA,ISLA,B_Maule,9999
Vert_LA_MINA,LA_MINA,B_M_Isla,9999
Vert_LAJA_I,LAJA_I,OFFGRID,9999
Vert_LOMAALTA,LOMAALTA,B_Maule,9999
Vert_MACHICURA,MACHICURA,SANIGNACIO,9999
Vert_PANGUE,PANGUE,ANGOSTURA,9999
Vert_PEHUENCHE,PEHUENCHE,COLBUN,9999
Vert_QUILLECO,QUILLECO,LAJA_I,9999
Vert_RALCO,RALCO,PANGUE,9999
Vert_RAPEL,RAPEL,OFFGRID,9999
Vert_RUCUE,RUCUE,QUILLECO,9999
Vert_SANIGNACIO,SANIGNACIO,OFFGRID,9999
Gen_ANGOSTURA,ANGOSTURA,OFFGRID,9999
Gen_POLCURA,POLCURA,Post_Antuco,9999
Gen_CANUTILLAR,CANUTILLAR,OFFGRID,9999
Gen_CIPRESES,CIPRESES,B_C_Isla,9999
Gen_COLBUN,COLBUN,MACHICURA,9999
Gen_CURILLINQUE,CURILLINQUE,LOMAALTA,9999
Gen_ELTORO,ELTORO,POLCURA,9999
Gen_ISLA,ISLA,Post_Isla,9999
Gen_LA_MINA,LA_MINA,B_M_Isla,9999
Gen_LAJA_I,LAJA_I,OFFGRID,9999
Gen_LOMAALTA,LOMAALTA,B_Maule,9999
Gen_MACHICURA,MACHICURA,Post_Machicura,9999
Gen_PANGUE,PANGUE,Post_Pangue,9999
Gen_PEHUENCHE,PEHUENCHE,COLBUN,9999
Gen_QUILLECO,QUILLECO,Post_Quilleco,9999
Gen_RALCO,RALCO,PANGUE,9999
Gen_RAPEL,RAPEL,OFFGRID,9999
Gen_RUCUE,RUCUE,QUILLECO,9999
Gen_SANIGNACIO,SANIGNACIO,OFFGRID,9999
