ZONES,PERIOD,standard_load_addition,daily_shiftable_load_addition,baseload_load_addition,annual_shiftable_load_addition,annual_shiftable_load_min_cf
NuevaCharrua500,2050,-0.5,0.15,0.25,0.1,0.35
Cumbre500,2050,-0.5,0.15,0.25,0.1,0.35
Pichirropulli500,2050,-0.5,0.15,0.25,0.1,0.35
Polpaico500,2050,-0.5,0.15,0.25,0.1,0.35
NuevaAncud500,2050,-0.5,0.15,0.25,0.1,0.35
AltoJahuel500,2050,-0.5,0.15,0.25,0.1,0.35
NuevaCardones500,2050,-0.5,0.15,0.25,0.1,0.35
Ancoa500,2050,-0.5,0.15,0.25,0.1,0.35
RioMalleco500,2050,-0.5,0.15,0.25,0.1,0.35
NuevaPandeAzucar500,2050,-0.5,0.15,0.25,0.1,0.35
NuevaMaitencillo500,2050,-0.5,0.15,0.25,0.1,0.35
NuevaPuertoMontt500,2050,-0.5,0.15,0.25,0.1,0.35
Parinas500,2050,-0.5,0.15,0.25,0.1,0.35
NuevaZaldivar220,2050,-0.5,0.15,0.25,0.1,0.35
Kimal500,2050,-0.5,0.15,0.25,0.1,0.35
LosChangos500,2050,-0.5,0.15,0.25,0.1,0.35
Lagunas220,2050,-0.5,0.15,0.25,0.1,0.35
Kimal220,2050,-0.5,0.15,0.25,0.1,0.35
LosChangos220,2050,-0.5,0.15,0.25,0.1,0.35
NuevaPozoAlmonte220,2050,-0.5,0.15,0.25,0.1,0.35
Parinacota220,2050,-0.5,0.15,0.25,0.1,0.35
Quillota500,2050,-0.5,0.15,0.25,0.1,0.35
Candelaria500,2050,-0.5,0.15,0.25,0.1,0.35
Rapel500,2050,-0.5,0.15,0.25,0.1,0.35
Concepcion500,2050,-0.5,0.15,0.25,0.1,0.35
Mulchen500,2050,-0.5,0.15,0.25,0.1,0.35
