GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
ALFALFAL_BESS,2050,0.0,0,0
ANDES_IIB_BESS,2050,0.0,0,0
ANGOSTURA_U1,2050,0.0,.,0
ANGOSTURA_U2,2050,0.0,.,0
ANGOSTURA_U3,2050,0.0,.,0
ANTUCO_U1,2050,0.0,.,0
ANTUCO_U2,2050,0.0,.,0
ARBOLEDA_SOLAR_BESS,2050,0.0,0,0
CANUTILLAR_U1,2050,0.0,.,0
CANUTILLAR_U2,2050,0.0,.,0
CERRO_DOMINADOR_CS,2050,0.0,.,904
CERRO_PABELLON_U1,2050,0.0,.,99300
CERRO_PABELLON_U2,2050,0.0,.,99300
CERRO_PABELLON_U3,2050,0.0,.,99300
CIPRESES_U1,2050,0.0,.,0
CIPRESES_U2,2050,0.0,.,0
CIPRESES_U3,2050,0.0,.,0
COLBUN_U1,2050,0.0,.,0
COLBUN_U2,2050,0.0,.,0
CURILLINQUE,2050,0.0,.,0
EL_TORO_U1,2050,0.0,.,0
EL_TORO_U2,2050,0.0,.,0
EL_TORO_U3,2050,0.0,.,0
EL_TORO_U4,2050,0.0,.,0
ENAP_ACONCAGUA,2050,0.0,.,0
ERSA_BIOBIO,2050,0.0,.,3900
ESS_AltoJahuel500_4h,2050,832646.0,0,20816
ESS_Ancoa500_4h,2050,832646.0,0,20816
ESS_Candelaria500_4h,2050,832646.0,0,20816
ESS_Concepcion500_4h,2050,832646.0,0,20816
ESS_Cumbre500_4h,2050,832646.0,0,20816
ESS_Kimal220_4h,2050,832646.0,0,20816
ESS_Kimal500_4h,2050,832646.0,0,20816
ESS_Lagunas220_4h,2050,832646.0,0,20816
ESS_LosChangos220_4h,2050,832646.0,0,20816
ESS_LosChangos500_4h,2050,832646.0,0,20816
ESS_Mulchen500_4h,2050,832646.0,0,20816
ESS_NuevaAncud500_4h,2050,832646.0,0,20816
ESS_NuevaCardones500_4h,2050,832646.0,0,20816
ESS_NuevaCharrua500_4h,2050,832646.0,0,20816
ESS_NuevaMaitencillo500_4h,2050,832646.0,0,20816
ESS_NuevaPandeAzucar500_4h,2050,832646.0,0,20816
ESS_NuevaPozoAlmonte220_4h,2050,832646.0,0,20816
ESS_NuevaPuertoMontt500_4h,2050,832646.0,0,20816
ESS_NuevaZaldivar220_4h,2050,832646.0,0,20816
ESS_Parinacota220_4h,2050,832646.0,0,20816
ESS_Parinas500_4h,2050,832646.0,0,20816
ESS_Pichirropulli500_4h,2050,832646.0,0,20816
ESS_Polpaico500_4h,2050,832646.0,0,20816
ESS_Quillota500_4h,2050,832646.0,0,20816
ESS_Rapel500_4h,2050,832646.0,0,20816
ESS_RioMalleco500_4h,2050,832646.0,0,20816
HidroB_GEN_AltoJahuel500,2050,0.0,.,0
HidroB_GEN_Ancoa500,2050,0.0,.,0
HidroB_GEN_Mulchen500,2050,0.0,.,0
HidroB_GEN_NuevaCharrua500,2050,0.0,.,0
HidroB_GEN_Parinacota220,2050,0.0,.,0
HidroB_GEN_Pichirropulli500,2050,0.0,.,0
HidroB_GEN_Polpaico500,2050,0.0,.,0
HidroC_GEN_AltoJahuel500,2050,0.0,.,0
HidroC_GEN_Ancoa500,2050,0.0,.,0
HidroC_GEN_Candelaria500,2050,0.0,.,0
HidroC_GEN_Lagunas220,2050,0.0,.,0
HidroC_GEN_Mulchen500,2050,0.0,.,0
HidroC_GEN_NuevaAncud500,2050,0.0,.,0
HidroC_GEN_NuevaCardones500,2050,0.0,.,0
HidroC_GEN_NuevaCharrua500,2050,0.0,.,0
HidroC_GEN_NuevaMaitencillo500,2050,0.0,.,0
HidroC_GEN_NuevaPandeAzucar500,2050,0.0,.,0
HidroC_GEN_NuevaPuertoMontt500,2050,0.0,.,0
HidroC_GEN_Parinacota220,2050,0.0,.,0
HidroC_GEN_Pichirropulli500,2050,0.0,.,0
HidroC_GEN_Polpaico500,2050,0.0,.,0
HidroC_GEN_Rapel500,2050,0.0,.,0
HidroC_GEN_RioMalleco500,2050,0.0,.,0
INCA_DEL_ORO_BESS,2050,0.0,0,0
ISLA,2050,0.0,.,0
LA_MINA,2050,0.0,.,0
LAJA_I,2050,0.0,.,0
LOMA_ALTA,2050,0.0,.,0
LOMA_LOS_COLORADOS_1,2050,0.0,.,11570
LOMA_LOS_COLORADOS_2,2050,0.0,.,10250
MACHICURA_U1,2050,0.0,.,0
MACHICURA_U2,2050,0.0,.,0
PANGUE_U1,2050,0.0,.,0
PANGUE_U2,2050,0.0,.,0
PAS_MEJILLONES,2050,0.0,.,0
PEHUENCHE_U1,2050,0.0,.,0
PEHUENCHE_U2,2050,0.0,.,0
PHS_Cumbre500_10h,2050,2625000.0,0,28190
PHS_Lagunas220_10h,2050,2625000.0,0,28190
PHS_NuevaPozoAlmonte220_10h,2050,2625000.0,0,28190
PHS_NuevaPuertoMontt500_10h,2050,2625000.0,0,28190
PHS_Parinacota220_10h,2050,2625000.0,0,28190
QUILLECO,2050,0.0,.,0
RALCO_U1,2050,0.0,.,0
RALCO_U2,2050,0.0,.,0
RAPEL_U1,2050,0.0,.,0
RAPEL_U2,2050,0.0,.,0
RAPEL_U3,2050,0.0,.,0
