GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_inertia,Candidatas,Start_time,csp_tes_capacity_h
CERRO_DOMINADOR_CS,CSP-TES,Kimal220,0,110.0,.,0.904,30,.,0,0,0,0,0,CSP-TES,.,.,.,.,.,.,.,0.0,"""Predeterminada""",2022,17.5
CERRO_PABELLON_U1,Geotermica,Kimal220,0,29.83,.,0.0,28,.,0,0,0,0,0,Geotermica,.,.,.,.,.,.,.,64.0,"""Predeterminada""",2022,.
CERRO_PABELLON_U2,Geotermica,Kimal220,0,18.39,.,0.0,28,.,0,0,0,0,0,Geotermica,.,.,.,.,.,.,.,64.0,"""Predeterminada""",2022,.
CERRO_PABELLON_U3,Geotermica,Kimal220,0,22.0,.,0.0,28,.,0,0,0,0,0,Geotermica,.,.,.,.,.,.,.,64.0,"""Predeterminada""",2022,.
ENAP_ACONCAGUA,Otros,Quillota500,0,27.31,0.300752688,0.0,28,.,0,0,0,0,0,Gas_Enap_A,.,.,.,.,.,.,.,0.0,"""Predeterminada""",2022,.
ERSA_BIOBIO,Otros,Concepcion500,0,20.5,0.45,3.9,8,.,0,0,0,0,0,Carbon_Petropower,.,.,.,.,.,.,.,16.9,"""Predeterminada""",2022,.
LOMA_LOS_COLORADOS_1,Biogas,Polpaico500,0,2.0,1.6543,11.57,28,.,0,0,0,0,0,Biogas_LomaLosColorados,.,.,.,.,.,.,.,0.0,"""Predeterminada""",2022,.
LOMA_LOS_COLORADOS_2,Biogas,Polpaico500,0,18.2,2.33,10.25,28,.,0,0,0,0,0,Biogas_LomaLosColorados,.,.,.,.,.,.,.,0.0,"""Predeterminada""",2022,.
PAS_MEJILLONES,Otros,LosChangos220,0,26.5,0,0.0,28,.,0,0,0,0,0,Otros_Noracid,.,.,.,.,.,.,.,0.0,"""Predeterminada""",2022,.
SANTA_MARTA,Biogas,AltoJahuel500,0,15.7,518,15.0,28,.,0,0,0,0,0,Biogas_SantaMarta,.,.,.,.,.,.,.,28.7,"""Predeterminada""",2022,.
SOCOMPA_SOLAR_BESS,Storage,NuevaZaldivar220,0,80.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,"""Predeterminada""",2026,.
ARBOLEDA_SOLAR_BESS,Storage,AltoJahuel500,0,25.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,"""Predeterminada""",2026,.
ANDES_IIB_BESS,Storage,NuevaZaldivar220,0,112.5,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,5,.,0.0,"""Predeterminada""",2022,.
URIBE_SOLAR_BESS,Storage,LosChangos220,0,2.5,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,2,.,0.0,"""Predeterminada""",2023,.
INCA_DEL_ORO_BESS,Storage,Cumbre500,0,8.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,"""Predeterminada""",2022,.
ALFALFAL_BESS,Storage,AltoJahuel500,0,49.3,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,"""Predeterminada""",2023,.
