GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_inertia,Candidatas,Start_time,csp_tes_capacity_h
CERRO_DOMINADOR_CS,CSP-TES,Kimal220,0,110,.,0.904,30,.,0,0,0,0,0,CSP-TES,.,.,.,.,.,.,.,0,"""Predeterminada""",2022,17.5
CERRO_PABELLON_U1,Geotermica,Kimal220,0,29.83,.,0,28,.,0,0,0,0,0,Geotermica,.,.,.,.,.,.,.,64,"""Predeterminada""",2022,.
CERRO_PABELLON_U2,Geotermica,Kimal220,0,18.39,.,0,28,.,0,0,0,0,0,Geotermica,.,.,.,.,.,.,.,64,"""Predeterminada""",2022,.
CERRO_PABELLON_U3,Geotermica,Kimal220,0,22,.,0,28,.,0,0,0,0,0,Geotermica,.,.,.,.,.,.,.,64,"""Predeterminada""",2022,.
ENAP_ACONCAGUA,Otros,Quillota500,0,27.31,0.300752688,0,28,.,0,0,0,0,0,Gas_Enap_A,.,.,.,.,.,.,.,0,"""Predeterminada""",2022,.
ERSA_BIOBIO,Otros,Concepcion500,0,20.5,0.45,3.9,8,.,0,0,0,0,0,Carbon_Petropower,.,.,.,.,.,.,.,16.9,"""Predeterminada""",2022,.
LOMA_LOS_COLORADOS_1,Biogas,Polpaico500,0,2,1.6543,11.57,28,.,0,0,0,0,0,Biogas_LomaLosColorados,.,.,.,.,.,.,.,0,"""Predeterminada""",2022,.
LOMA_LOS_COLORADOS_2,Biogas,Polpaico500,0,18.2,2.33,10.25,28,.,0,0,0,0,0,Biogas_LomaLosColorados,.,.,.,.,.,.,.,0,"""Predeterminada""",2022,.
PAS_MEJILLONES,Otros,LosChangos220,0,26.5,0,0,28,.,0,0,0,0,0,Otros_Noracid,.,.,.,.,.,.,.,0,"""Predeterminada""",2022,.
SANTA_MARTA,Biogas,AltoJahuel500,0,15.7,518,15,28,.,0,0,0,0,0,Biogas_SantaMarta,.,.,.,.,.,.,.,28.7,"""Predeterminada""",2022,.
SOCOMPA_SOLAR_BESS,Storage,NuevaZaldivar220,0,80,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,"""Predeterminada""",2026,.
ARBOLEDA_SOLAR_BESS,Storage,AltoJahuel500,0,25,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,"""Predeterminada""",2026,.
ANDES_IIB_BESS,Storage,NuevaZaldivar220,0,112.5,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,5,.,0,"""Predeterminada""",2022,.
URIBE_SOLAR_BESS,Storage,LosChangos220,0,2.5,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,2,.,0,"""Predeterminada""",2023,.
INCA_DEL_ORO_BESS,Storage,Cumbre500,0,8,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,"""Predeterminada""",2022,.
ALFALFAL_BESS,Storage,AltoJahuel500,0,49.3,.,0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0,"""Predeterminada""",2023,.
Geo01_Chuquicamata,Geotermica,Kimal500,0,138.93,1,1.136499367,30,.,0,0,0,0,0,Geo01_Chuquicamata_PELP,.,.,.,.,.,.,.,224,True,2030,.
Geo01_Mulchen,Geotermica,Mulchen500,0,71.51,1,1.136499367,30,.,0,0,0,0,0,Geo01_Mulchen_PELP,.,.,.,.,.,.,.,230.4,True,2030,.
Geo01_Charrua,Geotermica,NuevaCharrua500,0,26.82,1,1.136499367,30,.,0,0,0,0,0,Geo01_Charrua_PELP,.,.,.,.,.,.,.,86.4,True,2030,.
Geo01_Ancoa,Geotermica,NuevaCharrua500,0,288.51,1,1.136499367,30,.,0,0,0,0,0,Geo01_Ancoa_PELP,.,.,.,.,.,.,.,160,True,2030,.
Biomasa_Valdivia,Biomasa,Pichirropulli500,0,93.98,1,5.04,30,.,0,0,0,0,0,Biomasa_Valdivia_PELP,.,.,.,.,.,.,.,0,True,2026,.
Biomasa_Mulchen,Biomasa,Mulchen500,0,19.9,1,5.04,30,.,0,0,0,0,0,Biomasa_Mulchen_PELP,.,.,.,.,.,.,.,0,True,2026,.
Geo01_PAlmonte,Geotermica,NuevaPozoAlmonte220,0,125.94,1,1.136499367,30,.,0,0,0,0,0,Geo01_PAlmonte_PELP,.,.,.,.,.,.,.,204.8,True,2030,.
Geo01_Parinacota,Geotermica,Parinacota220,0,197.65,1,1.136499367,30,.,0,0,0,0,0,Geo01_Parinacota_PELP,.,.,.,.,.,.,.,320,True,2030,.
Biomasa_Concepcion,Biomasa,Concepcion500,0,101.56,1,5.04,30,.,0,0,0,0,0,Biomasa_Concepcion_PELP,.,.,.,.,.,.,.,0,True,2026,.
Geo02_Parinacota,Geotermica,Parinacota220,0,148.29,1,1.136499367,30,.,0,0,0,0,0,Geo02_Parinacota_PELP,.,.,.,.,.,.,.,240,True,2030,.
Geo01_Cautin,Geotermica,RioMalleco500,0,99.17,1,1.136499367,30,.,0,0,0,0,0,Geo01_Cautin_PELP,.,.,.,.,.,.,.,160,True,2030,.
Geo01_Candelaria,Geotermica,Candelaria500,0,198.46,1,1.136499367,30,.,0,0,0,0,0,Geo01_Candelaria_PELP,.,.,.,.,.,.,.,160,True,2030,.
Biomasa_Ancoa,Biomasa,NuevaCharrua500,0,253.45,1,5.04,30,.,0,0,0,0,0,Biomasa_Ancoa_PELP,.,.,.,.,.,.,.,0,True,2026,.
Biomasa_Charrua,Biomasa,NuevaCharrua500,0,287.13,1,5.04,30,.,0,0,0,0,0,Biomasa_Charrua_PELP,.,.,.,.,.,.,.,0,True,2026,.
Biomasa_Cautin,Biomasa,RioMalleco500,0,115.69,1,5.04,30,.,0,0,0,0,0,Biomasa_Cautin_PELP,.,.,.,.,.,.,.,0,True,2026,.
Geo01_Andes,Geotermica,NuevaZaldivar220,0,228.11,1,1.136499367,30,.,0,0,0,0,0,Geo01_Andes_PELP,.,.,.,.,.,.,.,368,True,2030,.
Geo02_Andes,Geotermica,NuevaZaldivar220,0,158.76,1,1.136499367,30,.,0,0,0,0,0,Geo02_Andes_PELP,.,.,.,.,.,.,.,256,True,2030,.
CSP_Antofagasta_954_13h,CSP-TES,NuevaZaldivar220,0,545.904762,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,3073.44381,True,2028,13
CSP_Antofagasta_1102_13h,CSP-TES,NuevaZaldivar220,0,2457.952381,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,13838.27191,True,2028,13
CSP_Antofagasta_865_13h,CSP-TES,NuevaZaldivar220,0,1760.952381,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,9914.161905,True,2028,13
CSP_Antofagasta_912_13h,CSP-TES,NuevaZaldivar220,0,4553.619048,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,25636.87524,True,2028,13
CSP_Antofagasta_1152_13h,CSP-TES,NuevaZaldivar220,0,816.5238097,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,4597.029049,True,2028,13
CSP_Antofagasta_1172_13h,CSP-TES,NuevaZaldivar220,0,794.095238,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,4470.75619,True,2028,13
CSP_Tarapaca_311_13h,CSP-TES,Lagunas220,0,831.3809523,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,4680.674761,True,2028,13
CSP_Antofagasta_438_13h,CSP-TES,Lagunas220,0,5703.761905,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,32112.17953,True,2028,13
CSP_Tarapaca_355_13h,CSP-TES,Lagunas220,0,1078.857143,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,6073.965715,True,2028,13
CSP_Tarapaca_375_13h,CSP-TES,Lagunas220,0,3526.333333,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,19853.25666,True,2028,13
CSP_Tarapaca_407_13h,CSP-TES,Lagunas220,0,518.5238097,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,2919.289049,True,2028,13
CSP_Tarapaca_419_13h,CSP-TES,Lagunas220,0,562.4504737,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,3166.596167,True,2028,13
CSP_Antofagasta_594_13h,CSP-TES,LosChangos500,0,342.3333333,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,1927.336666,True,2028,13
CSP_Antofagasta_585_13h,CSP-TES,Kimal500,0,852.4285713,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,4799.172856,True,2028,13
CSP_Antofagasta_708_13h,CSP-TES,Kimal500,0,3515.47619,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,19792.13095,True,2028,13
CSP_Antofagasta_700_13h,CSP-TES,LosChangos500,0,1212.714286,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,6827.58143,True,2028,13
CSP_Antofagasta_698_13h,CSP-TES,LosChangos500,0,768.7619047,.,3.7,30,.,0,0,0,0,0,CSP,.,.,.,.,.,.,.,4328.129523,True,2028,13
