load_zone,fuel,period,fuel_cost
Quillota500,Gas_Enap_A,2050,0
Concepcion500,Carbon_Petropower,2050,0
Polpaico500,Biogas_LomaLosColorados,2050,0
Polpaico500,Biogas_LomaLosColorados,2050,0
LosChangos220,Otros_Noracid,2050,0
AltoJahuel500,Biogas_SantaMarta,2050,0
Kimal500,Geo01_Chuquicamata_PELP,2050,0
Mulchen500,Geo01_Mulchen_PELP,2050,0
NuevaCharrua500,Geo01_Charrua_PELP,2050,0
NuevaCharrua500,Geo01_Ancoa_PELP,2050,0
Pichirropulli500,Biomasa_Valdivia_PELP,2050,13.69193297
Mulchen500,Biomasa_Mulchen_PELP,2050,13.69193297
NuevaPozoAlmonte220,Geo01_PAlmonte_PELP,2050,0
Parinacota220,Geo01_Parinacota_PELP,2050,0
Concepcion500,Biomasa_Concepcion_PELP,2050,13.69193297
Parinacota220,Geo02_Parinacota_PELP,2050,0
RioMalleco500,Geo01_Cautin_PELP,2050,0
Candelaria500,Geo01_Candelaria_PELP,2050,0
NuevaCharrua500,Biomasa_Ancoa_PELP,2050,13.69193297
NuevaCharrua500,Biomasa_Charrua_PELP,2050,13.69193297
RioMalleco500,Biomasa_Cautin_PELP,2050,13.69193297
NuevaZaldivar220,Geo01_Andes_PELP,2050,0
NuevaZaldivar220,Geo02_Andes_PELP,2050,0
Ancoa500,Biomasa_Ancoa500_extension_PELP,2050,13.69193297
AltoJahuel500,Biomasa_AltoJahuel500_extension_PELP,2050,13.69193297
LosChangos220,Biomasa_LosChangos220_extension_PELP,2050,13.69193297
Concepcion500,Gas_CCS_Concepcion500_FUEL,2050,9
Cumbre500,Gas_CCS_Cumbre500_FUEL,2050,9
Kimal220,Gas_CCS_Kimal220_FUEL,2050,9
Kimal500,Gas_CCS_Kimal500_FUEL,2050,9
LosChangos500,Gas_CCS_LosChangos500_FUEL,2050,9
Mulchen500,Gas_CCS_Mulchen500_FUEL,2050,9
NuevaCardones500,Gas_CCS_NuevaCardones500_FUEL,2050,9
NuevaCharrua500,Gas_CCS_NuevaCharrua500_FUEL,2050,9
NuevaMaitencillo500,Gas_CCS_NuevaMaitencillo500_FUEL,2050,9
NuevaZaldivar220,Gas_CCS_NuevaZaldivar220_FUEL,2050,9
Parinas500,Gas_CCS_Parinas500_FUEL,2050,9
